id,name,barcode,department,subcategory,price,on_sale,sale_price,sale_text,unit,is_new,image_file
"1214864","פאנטה תות שדה פחית 355 מ""ל","049000014266","משקאות","משקה מוגז","10.00","לא","0.00","","u","לא","פאנטה תות שדה פחית 355 מל.jpg"
"1214876","לחמניות כוסמין מלאות אנג'ל 6 יח'","7290017947495","לחם מאפים ועוגיות","לחמניות ופיתות","23.90","לא","0.00","","u","לא","לחמניות כוסמין מלאות אנג'ל 6 יח'.jpg"
"1215023","לחמניות ארוכות בסגנון אמריקה אנג'ל 6 יח'","7290018500484","לחם מאפים ועוגיות","לחמניות ופיתות","19.90","לא","0.00","","u","לא","לחמניות ארוכות בסגנון אמריקה אנג'ל 6 יח'.jpg"
"1215047","לחמניות המבורגר בסגנון אמריקה אנג'ל 6 יח'","7290017947921","לחם מאפים ועוגיות","לחמניות ופיתות","19.90","לא","0.00","","u","לא","לחמניות המבורגר בסגנון אמריקה אנג'ל 6 יח'.jpg"
"1215268","ממרח איולי שום עללחם 295 גרם","7290015858687","שימורים ואפייה","ממרחים","19.90","לא","0.00","","u","לא","ממרח איולי שום עללחם 295 גרם.jpg"
"1215298","ממרח איולי פסטו עללחם 295 גרם","7290015858328","שימורים ואפייה","ממרחים","19.90","לא","0.00","","u","לא","ממרח איולי פסטו עללחם 295 גרם.jpg"
"1215358","פירורי לחם עם שומשום אגם 800 גרם","7290014012332","קטניות ושמנים","פירורי לחם","15.00","לא","0.00","","u","לא","פירורי לחם עם שומשום אגם 800 גרם.jpg"
"1215385","לחם מחמצת כוסמין פרוס אנג'ל 500 גרם","7290018540817","לחם מאפים ועוגיות","לחם","22.90","לא","0.00","","u","לא","לחם מחמצת כוסמין פרוס אנג'ל 500 גרם.jpg"
"1215397","לחם מחמצת חיטה מלאה וגרעינים פרוס אנג'ל 500 גרם","7290018540831","לחם מאפים ועוגיות","לחם","22.90","לא","0.00","","u","לא","לחם מחמצת חיטה מלאה וגרעינים פרוס אנג'ל 500 גרם.jpg"
"1215409","לחם מחמצת כפרי פרוס אנג'ל 500 גרם","7290018540824","לחם מאפים ועוגיות","לחם","22.90","לא","0.00","","u","לא","לחם מחמצת כפרי פרוס אנג'ל 500 גרם.jpg"
"1215424","בריזר אפרסק 275 מ""ל","7610113023716","משקאות","משקאות חריפים","16.90","לא","0.00","","u","לא","בריזר אפרסק 275 מל.jpg"
"1215499","מים בטעם נענע ליצ'י נביעות 1.5 ליטר","7290110116231","משקאות","מים וסודה בטעמים","11.90","לא","0.00","","u","לא","מים בטעם נענע ליצ'י נביעות 1.5 ליטר.jpg"
"1215574","אייס קפה בטעם וניל עלית 250 מ""ל","7290110555344","מוצרי חלב וביצים","משקאות חלב","11.00","לא","0.00","","u","לא","אייס קפה בטעם וניל עלית 250 מל.jpg"
"1215754","הקיסר חומוס ענק במי מלח יכין 550 גרם","7290018359686","שימורים ואפייה","שימורי ירקות","12.90","לא","0.00","","u","לא","הקיסר חומוס ענק במי מלח יכין 550 גרם.jpg"
"1216173","איטריות מוכנות להקפצה טייסט אוף אסיה 200 גרם","7290014785571","שימורים ואפייה","המטבח האסייתי","7.90","לא","0.00","","u","לא","איטריות מוכנות להקפצה טייסט אוף אסיה 200 גרם.jpg"
"1216188","איטריות ראמן מוכנות טייסט אוף אסיה 180 גרם","7290014785588","שימורים ואפייה","המטבח האסייתי","7.90","לא","0.00","","u","לא","איטריות ראמן מוכנות טייסט אוף אסיה 180 גרם.jpg"
"1216413","סטייק פרגיות קפוא מעדני הטלה","7290006714411","בשר עוף ודגים","בשר ועוף קפוא","99.90","לא","0.00","","u","לא","סטייק פרגיות קפוא מעדני הטלה.jpg"
"1216428","פילה עוף קפוא מעדני הטלה","7290003163946","בשר עוף ודגים","בשר ועוף קפוא","64.90","לא","0.00","","u","לא","פילה עוף קפוא מעדני הטלה.jpg"
"1216608","עגבניות חתוכות דק סיריו 3*400 גרם","8001440118944","שימורים ואפייה","שימורי עגבניות","20.90","לא","0.00","","u","לא","עגבניות חתוכות דק סיריו 3400 גרם.jpg"
"1216759","בצל קצוץ ומטוגן דורות 400 גרם","7290012561313","קפואים ואוכל מוכן","תבלינים קפואים","26.90","לא","0.00","","u","לא","בצל קצוץ ומטוגן דורות 400 גרם.jpg"
"1216804","רביולי במילוי גבינות פסטה ריקו 330 גרם","7290013787392","קפואים ואוכל מוכן","פסטה טרייה","31.90","לא","0.00","","u","לא","רביולי במילוי גבינות פסטה ריקו 330 גרם.jpg"
"1216909","דובדבנים חמוצים ומגולענים בסירופ תומר 700 גרם","7290002881612","שימורים ואפייה","פירות ולפתנים","18.90","לא","0.00","","u","לא","דובדבנים חמוצים ומגולענים בסירופ תומר 700 גרם.jpg"
"1217342","דניאלה בטעם תות ובננה 5% שטראוס 88 גרם","7290112349606","מוצרי חלב וביצים","מעדני חלב","4.90","כן","14.90","4 יח' ב-  14.90 ש""ח","u","לא","דניאלה בטעם תות ובננה 5% שטראוס 88 גרם.jpg"
"1217807","חמאה בד""ץ תנובה 200 גרם","7290014758544","מוצרי חלב וביצים","חמאה ומרגרינה","11.90","לא","0.00","","u","לא","חמאה בדץ תנובה 200 גרם.jpg"
"1217897","פסטרמה הודו בדבש טירת צבי 400 גרם","7290003229116","נקניקים וסלטים","פסטרמה","40.90","לא","0.00","","u","לא","פסטרמה הודו בדבש טירת צבי 400 גרם.jpg"
"1229799","שמן זית כתית מעולה קלאסי בקבוק לחיץ יד מרדכי 280 מ""ל","7290119379200","קטניות ושמנים","שמן חומץ ומיץ לימון","21.90","לא","0.00","","u","לא","שמן זית כתית מעולה קלאסי בקבוק לחיץ יד מרדכי 280 מל.jpg"
